DATE,PM2.5,City, PM10, O3, NO2, SO2, CO
01-12-2024,160,Kolkata,,,,,
02-12-2024,187,Kolkata,,,,,
03-12-2024,234,Kolkata,,,,,
01-11-2024,165,Kolkata,,,,,
02-11-2024,236,Kolkata,,,,,
03-11-2024,185,Kolkata,,,,,
04-11-2024,183,Kolkata,,,,,
05-11-2024,176,Kolkata,,,,,
06-11-2024,148,Kolkata,,,,,
07-11-2024,165,Kolkata,,,,,
08-11-2024,145,Kolkata,,,,,
09-11-2024,137,Kolkata,,,,,
10-11-2024,124,Kolkata,,,,,
11-11-2024,122,Kolkata,,,,,
12-11-2024,148,Kolkata,,,,,
13-11-2024,181,Kolkata,,,,,
14-11-2024,214,Kolkata,,,,,
15-11-2024,199,Kolkata,,,,,
16-11-2024,192,Kolkata,,,,,
17-11-2024,209,Kolkata,,,,,
18-11-2024,209,Kolkata,,,,,
19-11-2024,210,Kolkata,,,,,
20-11-2024,219,Kolkata,,,,,
21-11-2024,194,Kolkata,,,,,
22-11-2024,226,Kolkata,,,,,
23-11-2024,244,Kolkata,,,,,
24-11-2024,249,Kolkata,,,,,
25-11-2024,287,Kolkata,,,,,
26-11-2024,308,Kolkata,,,,,
27-11-2024,252,Kolkata,,,,,
28-11-2024,186,Kolkata,,,,,
29-11-2024,164,Kolkata,,,,,
30-11-2024,169,Kolkata,,,,,
01-10-2024,134,Kolkata,,,,,
02-10-2024,139,Kolkata,,,,,
03-10-2024,151,Kolkata,,,,,
04-10-2024,133,Kolkata,,,,,
05-10-2024,104,Kolkata,,,,,
06-10-2024,96,Kolkata,,,,,
07-10-2024,60,Kolkata,,,,,
08-10-2024,69,Kolkata,,,,,
09-10-2024,62,Kolkata,,,,,
10-10-2024,58,Kolkata,,,,,
11-10-2024,57,Kolkata,,,,,
12-10-2024,77,Kolkata,,,,,
13-10-2024,114,Kolkata,,,,,
14-10-2024,169,Kolkata,,,,,
15-10-2024,175,Kolkata,,,,,
16-10-2024,155,Kolkata,,,,,
17-10-2024,149,Kolkata,,,,,
18-10-2024,79,Kolkata,,,,,
19-10-2024,98,Kolkata,,,,,
20-10-2024,163,Kolkata,,,,,
21-10-2024,160,Kolkata,,,,,
22-10-2024,158,Kolkata,,,,,
23-10-2024,114,Kolkata,,,,,
24-10-2024,61,Kolkata,,,,,
25-10-2024,91,Kolkata,,,,,
26-10-2024,114,Kolkata,,,,,
27-10-2024,117,Kolkata,,,,,
28-10-2024,122,Kolkata,,,,,
29-10-2024,129,Kolkata,,,,,
30-10-2024,109,Kolkata,,,,,
31-10-2024,118,Kolkata,,,,,
01-07-2024,85,Kolkata,,,,,
02-07-2024,72,Kolkata,,,,,
03-07-2024,79,Kolkata,,,,,
04-07-2024,85,Kolkata,,,,,
05-07-2024,72,Kolkata,,,,,
06-07-2024,77,Kolkata,,,,,
07-07-2024,58,Kolkata,,,,,
08-07-2024,49,Kolkata,,,,,
09-07-2024,42,Kolkata,,,,,
10-07-2024,64,Kolkata,,,,,
11-07-2024,86,Kolkata,,,,,
12-07-2024,70,Kolkata,,,,,
13-07-2024,85,Kolkata,,,,,
14-07-2024,60,Kolkata,,,,,
15-07-2024,32,Kolkata,,,,,
16-07-2024,35,Kolkata,,,,,
17-07-2024,43,Kolkata,,,,,
18-07-2024,31,Kolkata,,,,,
19-07-2024,33,Kolkata,,,,,
20-07-2024,33,Kolkata,,,,,
21-07-2024,37,Kolkata,,,,,
22-07-2024,39,Kolkata,,,,,
23-07-2024,48,Kolkata,,,,,
24-07-2024,65,Kolkata,,,,,
25-07-2024,97,Kolkata,,,,,
26-07-2024,66,Kolkata,,,,,
27-07-2024,51,Kolkata,,,,,
28-07-2024,40,Kolkata,,,,,
29-07-2024,45,Kolkata,,,,,
30-07-2024,74,Kolkata,,,,,
31-07-2024,86,Kolkata,,,,,
01-08-2024,71,Kolkata,,,,,
02-08-2024,63,Kolkata,,,,,
03-08-2024,51,Kolkata,,,,,
04-08-2024,59,Kolkata,,,,,
05-08-2024,65,Kolkata,,,,,
06-08-2024,85,Kolkata,,,,,
07-08-2024,52,Kolkata,,,,,
08-08-2024,60,Kolkata,,,,,
09-08-2024,62,Kolkata,,,,,
10-08-2024,90,Kolkata,,,,,
11-08-2024,90,Kolkata,,,,,
12-08-2024,84,Kolkata,,,,,
13-08-2024,87,Kolkata,,,,,
14-08-2024,127,Kolkata,,,,,
15-08-2024,116,Kolkata,,,,,
16-08-2024,97,Kolkata,,,,,
17-08-2024,96,Kolkata,,,,,
18-08-2024,66,Kolkata,,,,,
19-08-2024,82,Kolkata,,,,,
20-08-2024,107,Kolkata,,,,,
21-08-2024,106,Kolkata,,,,,
22-08-2024,106,Kolkata,,,,,
23-08-2024,71,Kolkata,,,,,
24-08-2024,66,Kolkata,,,,,
25-08-2024,101,Kolkata,,,,,
26-08-2024,63,Kolkata,,,,,
27-08-2024,51,Kolkata,,,,,
28-08-2024,53,Kolkata,,,,,
29-08-2024,50,Kolkata,,,,,
30-08-2024,43,Kolkata,,,,,
31-08-2024,30,Kolkata,,,,,
01-09-2024,38,Kolkata,,,,,
02-09-2024,41,Kolkata,,,,,
03-09-2024,51,Kolkata,,,,,
04-09-2024,64,Kolkata,,,,,
05-09-2024,56,Kolkata,,,,,
06-09-2024,60,Kolkata,,,,,
07-09-2024,69,Kolkata,,,,,
08-09-2024,31,Kolkata,,,,,
09-09-2024,42,Kolkata,,,,,
10-09-2024,49,Kolkata,,,,,
11-09-2024,75,Kolkata,,,,,
12-09-2024,125,Kolkata,,,,,
13-09-2024,108,Kolkata,,,,,
14-09-2024,45,Kolkata,,,,,
15-09-2024,26,Kolkata,,,,,
16-09-2024,68,Kolkata,,,,,
17-09-2024,76,Kolkata,,,,,
18-09-2024,76,Kolkata,,,,,
19-09-2024,141,Kolkata,,,,,
20-09-2024,151,Kolkata,,,,,
21-09-2024,84,Kolkata,,,,,
22-09-2024,117,Kolkata,,,,,
23-09-2024,119,Kolkata,,,,,
24-09-2024,31,Kolkata,,,,,
25-09-2024,27,Kolkata,,,,,
26-09-2024,36,Kolkata,,,,,
27-09-2024,29,Kolkata,,,,,
28-09-2024,39,Kolkata,,,,,
29-09-2024,57,Kolkata,,,,,
30-09-2024,113,Kolkata,,,,,
01-04-2024,142,Kolkata,,,,,
02-04-2024,135,Kolkata,,,,,
03-04-2024,136,Kolkata,,,,,
04-04-2024,122,Kolkata,,,,,
05-04-2024,127,Kolkata,,,,,
06-04-2024,148,Kolkata,,,,,
07-04-2024,138,Kolkata,,,,,
08-04-2024,130,Kolkata,,,,,
09-04-2024,137,Kolkata,,,,,
10-04-2024,168,Kolkata,,,,,
11-04-2024,175,Kolkata,,,,,
12-04-2024,155,Kolkata,,,,,
13-04-2024,162,Kolkata,,,,,
14-04-2024,154,Kolkata,,,,,
