DATE,PM2.5, PM10, O3, NO2, SO2, CO
01-12-2024,36,14,7,3,5,3
02-12-2024,15,9,13,2,4,3
03-12-2024,10, , , , , 
01-11-2024,127,50,18,3,3,4
02-11-2024,101,30,9,2,4,4
03-11-2024,58,31,10,3,4,4
04-11-2024,57,45,19,4,4,5
05-11-2024,82,62,28,4,11,5
06-11-2024,124,52,17,3,8,5
07-11-2024,98,42,20,4,11,5
08-11-2024,76,40,20,4,10,5
09-11-2024,70,52,22,4,5,6
10-11-2024,110,55,25,4,6,6
11-11-2024,116,54,22,3,5,5
12-11-2024,78,22,7,3,5,3
13-11-2024,23,20,4,3,8,4
14-11-2024,20,20,7,3,7,5
15-11-2024,21,24,6,3,6,4
16-11-2024,28,51,17,3,8,5
17-11-2024,67,61,21,3,8,5
18-11-2024,83,63,23,3,6,5
19-11-2024,86,64,21,3,6,5
20-11-2024,86,62,33,5,7,7
21-11-2024,85,61,29,5,8,6
22-11-2024,82,66,27,5,8,7
23-11-2024,90,60,24,4,6,5
24-11-2024,79,53,23,3,7,4
25-11-2024,69,54,21,3,5,5
26-11-2024,71,63,20,3,4,5
27-11-2024,85,63,33,4,5,5
28-11-2024,85,56,25,4,9,4
29-11-2024,73,45,13,3,6,4
30-11-2024,59,29,10,3,4,3
01-10-2024,77,31,14,3,7,5
02-10-2024,64,23,10,7,7,5
03-10-2024,49,28,10,11,5,7
04-10-2024,61,20,10,5,6,5
05-10-2024,49,30,17,6,7,6
06-10-2024,66,54,15,15,5,5
07-10-2024,115,37,15,14,4,4
08-10-2024,81,34,13,15,1,4
09-10-2024,68,32,13,14,5,4
10-10-2024,71,30,12,13,3,3
11-10-2024,68,21,6,12,4,3
12-10-2024,46,18,7,7,4,3
13-10-2024,37,17,8,6,3,4
14-10-2024,38,14,4,7,4,5
15-10-2024,36,17,7,7,4,5
16-10-2024,45,20,9,6,3,4
17-10-2024,40,23,9,6,5,4
18-10-2024,36,26,11,8,5,6
19-10-2024,61,29,17,5,3,7
20-10-2024,66,27,17,1,4,4
