DATE,PM2.5, PM10, O3, NO2, SO2, CO
01-12-2024,191,119,18,41,1,16
02-12-2024,197,122,7,36, ,23
03-12-2024,223, , , , , 
01-11-2024,280,166,27,29,3,11
02-11-2024,271,160,33,34,3,6
03-11-2024,274,189,28,32,1,11
04-11-2024,290,152,27,36,2,8
05-11-2024,227,153,64,34,3,12
06-11-2024,249,180,36,32, ,16
07-11-2024,303,135,19,24,1,12
08-11-2024,228,140,25,22,3,12
09-11-2024,236,125,24,22,3,9
10-11-2024,214,144,24,25,2,13
11-11-2024,233,148,7,23,3,21
12-11-2024,237,403,16,25,2,10
13-11-2024,430,299,3,21,3,12
14-11-2024,373, , , , , 
16-11-2024,333,394,6,27,3,9
17-11-2024,460,615,10,27,3,15
18-11-2024,583,198,17,29,19,18
19-11-2024,328,184,25,34,4,10
20-11-2024,302,144,25,39,3,20
21-11-2024,250,200,29,43,6,11
22-11-2024,325,174,27,45,3,16
23-11-2024,284,114,27,44,3,8
24-11-2024,197,198,31,42,2,12
25-11-2024,309,123,24,37,1,14
26-11-2024,242,125,22,40,1,13
27-11-2024,212,138,20,40,2,18
28-11-2024,230,166,23,47,1,18
29-11-2024,232,151,19,45,1,18
30-11-2024,239,104,18,40,1,16
01-10-2024,157,90,2,22,3,14
02-10-2024,160,79,20,21,2,5
03-10-2024,117,78,16,20,2,9
04-10-2024,141,63,17,17,3,7
05-10-2024,96,63,20,19,3,6
06-10-2024,112,64,21,20,3,6
07-10-2024,121,84,27,22,2,6
08-10-2024,155,77,24,22,2,6
09-10-2024,146,70,18,22,1,3
10-10-2024,124,71,26,21,1,5
11-10-2024,141,77,25,25,2,5
12-10-2024,146,99,27,27,2,10
13-10-2024,169,103,24,30,1,12
14-10-2024,145,94,24,30,2,7
15-10-2024,160,112,40,35,2,10
16-10-2024,177,102,3,41,2,19
17-10-2024,173,117,23,37,3,13
18-10-2024,186,115,21,37,3,21
19-10-2024,182,116,21,36,1,11
20-10-2024,192,125,22,30,3,10
21-10-2024,203,129,25,29,3,12
22-10-2024,206,189,25,26,1,12
23-10-2024,278,129,29,26,3,7
24-10-2024,207,121,25,27,3,5
25-10-2024,194,157,35,36,2,9
26-10-2024,227,138,30,30,3,7
27-10-2024,232,120,34,27,2,6
28-10-2024,208,104,19,25,2,7
29-10-2024,184,123,33,27,2,8
30-10-2024,200,146,23,24,3,7
31-10-2024,245,200,22,24,5,6
