DATE,PM2.5
01-12-2024,160
02-12-2024,187
03-12-2024,234
01-11-2024,165
02-11-2024,236
03-11-2024,185
04-11-2024,183
05-11-2024,176
06-11-2024,148
07-11-2024,165
08-11-2024,145
09-11-2024,137
10-11-2024,124
11-11-2024,122
12-11-2024,148
13-11-2024,181
14-11-2024,214
15-11-2024,199
16-11-2024,192
17-11-2024,209
18-11-2024,209
19-11-2024,210
20-11-2024,219
21-11-2024,194
22-11-2024,226
23-11-2024,244
24-11-2024,249
25-11-2024,287
26-11-2024,308
27-11-2024,252
28-11-2024,186
29-11-2024,164
30-11-2024,169
01-10-2024,134
02-10-2024,139
03-10-2024,151
04-10-2024,133
05-10-2024,104
06-10-2024,96
07-10-2024,60
08-10-2024,69
09-10-2024,62
10-10-2024,58
11-10-2024,57
12-10-2024,77
13-10-2024,114
14-10-2024,169
15-10-2024,175
16-10-2024,155
17-10-2024,149
18-10-2024,79
19-10-2024,98
20-10-2024,163
21-10-2024,160
22-10-2024,158
23-10-2024,114
24-10-2024,61
25-10-2024,91
26-10-2024,114
27-10-2024,117
28-10-2024,122
29-10-2024,129
30-10-2024,109
31-10-2024,118
01-07-2024,85
02-07-2024,72
03-07-2024,79
04-07-2024,85
05-07-2024,72
06-07-2024,77
07-07-2024,58
08-07-2024,49
09-07-2024,42
10-07-2024,64
11-07-2024,86
12-07-2024,70
13-07-2024,85
14-07-2024,60
15-07-2024,32
16-07-2024,35
17-07-2024,43
18-07-2024,31
19-07-2024,33
20-07-2024,33
21-07-2024,37
22-07-2024,39
23-07-2024,48
24-07-2024,65
25-07-2024,97
26-07-2024,66
27-07-2024,51
28-07-2024,40
29-07-2024,45
30-07-2024,74
31-07-2024,86
01-08-2024,71
02-08-2024,63
03-08-2024,51
04-08-2024,59
05-08-2024,65
06-08-2024,85
07-08-2024,52
08-08-2024,60
09-08-2024,62
10-08-2024,90
11-08-2024,90
12-08-2024,84
13-08-2024,87
14-08-2024,127
15-08-2024,116
16-08-2024,97
17-08-2024,96
18-08-2024,66
19-08-2024,82
20-08-2024,107
21-08-2024,106
22-08-2024,106
23-08-2024,71
24-08-2024,66
25-08-2024,101
26-08-2024,63
27-08-2024,51
28-08-2024,53
29-08-2024,50
30-08-2024,43
31-08-2024,30
01-09-2024,38
02-09-2024,41
03-09-2024,51
04-09-2024,64
05-09-2024,56
06-09-2024,60
07-09-2024,69
08-09-2024,31
09-09-2024,42
10-09-2024,49
11-09-2024,75
12-09-2024,125
13-09-2024,108
14-09-2024,45
15-09-2024,26
16-09-2024,68
17-09-2024,76
18-09-2024,76
19-09-2024,141
20-09-2024,151
21-09-2024,84
22-09-2024,117
23-09-2024,119
24-09-2024,31
25-09-2024,27
26-09-2024,36
27-09-2024,29
28-09-2024,39
29-09-2024,57
30-09-2024,113
01-04-2024,142
02-04-2024,135
03-04-2024,136
04-04-2024,122
05-04-2024,127
06-04-2024,148
07-04-2024,138
08-04-2024,130
09-04-2024,137
10-04-2024,168
11-04-2024,175
12-04-2024,155
13-04-2024,162
14-04-2024,154
15-04-2024,157
16-04-2024,138
17-04-2024,153
18-04-2024,131
19-04-2024,140
20-04-2024,118
21-04-2024,109
22-04-2024,132
23-04-2024,121
24-04-2024,141
25-04-2024,134
26-04-2024,119
27-04-2024,114
28-04-2024,121
29-04-2024,150
30-04-2024,129
01-05-2024,131
02-05-2024,116
03-05-2024,113
04-05-2024,97
05-05-2024,93
06-05-2024,74
07-05-2024,62
08-05-2024,53
09-05-2024,71
10-05-2024,74
11-05-2024,67
12-05-2024,88
13-05-2024,90
14-05-2024,81
15-05-2024,80
16-05-2024,63
17-05-2024,58
18-05-2024,84
19-05-2024,77
20-05-2024,46
21-05-2024,70
22-05-2024,53
23-05-2024,50
24-05-2024,63
25-05-2024,72
26-05-2024,29
27-05-2024,27
28-05-2024,95
29-05-2024,104
30-05-2024,87
31-05-2024,89
01-06-2024,76
02-06-2024,76
03-06-2024,77
04-06-2024,85
05-06-2024,110
06-06-2024,126
07-06-2024,108
08-06-2024,98
09-06-2024,100
10-06-2024,95
11-06-2024,71
12-06-2024,88
13-06-2024,92
14-06-2024,109
15-06-2024,97
16-06-2024,88
17-06-2024,93
18-06-2024,98
19-06-2024,93
20-06-2024,77
21-06-2024,89
22-06-2024,61
23-06-2024,52
24-06-2024,69
25-06-2024,73
26-06-2024,50
27-06-2024,28
28-06-2024,45
29-06-2024,60
30-06-2024,93
01-01-2024,224
02-01-2024,226
03-01-2024,208
04-01-2024,224
05-01-2024,250
06-01-2024,225
07-01-2024,250
08-01-2024,260
09-01-2024,237
10-01-2024,262
11-01-2024,240
12-01-2024,234
13-01-2024,248
14-01-2024,299
16-01-2024,243
17-01-2024,219
18-01-2024,228
19-01-2024,214
20-01-2024,258
21-01-2024,295
22-01-2024,274
23-01-2024,279
24-01-2024,240
25-01-2024,230
26-01-2024,260
27-01-2024,217
28-01-2024,228
29-01-2024,217
30-01-2024,183
31-01-2024,173
01-02-2024,169
02-02-2024,184
03-02-2024,179
04-02-2024,201
07-02-2024,169
08-02-2024,167
09-02-2024,165
10-02-2024,186
11-02-2024,210
12-02-2024,232
13-02-2024,230
14-02-2024,219
15-02-2024,224
16-02-2024,208
17-02-2024,217
18-02-2024,183
19-02-2024,161
20-02-2024,157
21-02-2024,157
22-02-2024,174
23-02-2024,146
24-02-2024,162
27-02-2024,174
28-02-2024,175
29-02-2024,187
01-03-2024,177
02-03-2024,182
03-03-2024,167
04-03-2024,163
05-03-2024,162
06-03-2024,157
07-03-2024,171
08-03-2024,162
09-03-2024,166
10-03-2024,163
11-03-2024,171
12-03-2024,156
13-03-2024,140
14-03-2024,132
15-03-2024,149
16-03-2024,123
21-03-2024,136
22-03-2024,160
23-03-2024,156
24-03-2024,111
25-03-2024,113
26-03-2024,93
27-03-2024,113
28-03-2024,127
29-03-2024,129
30-03-2024,109
31-03-2024,126
04-10-2023,63
05-10-2023,111
06-10-2023,104
07-10-2023,130
08-10-2023,141
09-10-2023,155
10-10-2023,163
11-10-2023,167
12-10-2023,168
13-10-2023,159
14-10-2023,163
15-10-2023,162
16-10-2023,170
17-10-2023,186
18-10-2023,169
19-10-2023,153
20-10-2023,141
21-10-2023,145
22-10-2023,141
25-10-2023,123
26-10-2023,151
27-10-2023,165
28-10-2023,176
29-10-2023,170
30-10-2023,171
31-10-2023,167
01-11-2023,163
02-11-2023,173
03-11-2023,187
04-11-2023,160
05-11-2023,181
06-11-2023,188
07-11-2023,203
08-11-2023,219
09-11-2023,247
10-11-2023,262
11-11-2023,253
12-11-2023,258
13-11-2023,175
14-11-2023,171
15-11-2023,156
