DATE,PM2.5
01-12-2024,169
02-12-2024,168
03-12-2024,139
01-11-2024,158
02-11-2024,188
03-11-2024,147
04-11-2024,160
05-11-2024,154
06-11-2024,147
07-11-2024,154
08-11-2024,160
09-11-2024,159
10-11-2024,160
11-11-2024,161
12-11-2024,161
13-11-2024,157
14-11-2024,153
15-11-2024,158
16-11-2024,169
17-11-2024,177
18-11-2024,153
19-11-2024,152
20-11-2024,159
21-11-2024,164
22-11-2024,174
23-11-2024,181
24-11-2024,184
25-11-2024,173
26-11-2024,156
27-11-2024,150
28-11-2024,143
29-11-2024,126
30-11-2024,159
01-10-2024,98
02-10-2024,128
03-10-2024,67
04-10-2024,48
05-10-2024,54
06-10-2024,72
07-10-2024,131
08-10-2024,141
09-10-2024,130
10-10-2024,85
11-10-2024,69
12-10-2024,77
13-10-2024,83
14-10-2024,98
15-10-2024,86
16-10-2024,112
17-10-2024,120
18-10-2024,92
19-10-2024,57
20-10-2024,84
21-10-2024,69
22-10-2024,99
23-10-2024,115
24-10-2024,147
25-10-2024,154
26-10-2024,149
27-10-2024,163
28-10-2024,146
29-10-2024,128
30-10-2024,154
31-10-2024,158
01-07-2024,60
02-07-2024,59
03-07-2024,61
04-07-2024,56
05-07-2024,54
06-07-2024,69
07-07-2024,61
08-07-2024,57
09-07-2024,66
10-07-2024,75
11-07-2024,69
12-07-2024,59
13-07-2024,46
14-07-2024,47
15-07-2024,62
16-07-2024,62
17-07-2024,48
18-07-2024,34
19-07-2024,41
20-07-2024,41
21-07-2024,35
22-07-2024,47
23-07-2024,40
24-07-2024,48
25-07-2024,46
26-07-2024,56
27-07-2024,56
28-07-2024,64
29-07-2024,63
30-07-2024,64
31-07-2024,46
01-08-2024,42
02-08-2024,31
03-08-2024,40
04-08-2024,42
05-08-2024,43
06-08-2024,35
07-08-2024,33
08-08-2024,38
09-08-2024,39
10-08-2024,34
11-08-2024,25
12-08-2024,37
13-08-2024,43
14-08-2024,56
15-08-2024,47
16-08-2024,44
17-08-2024,51
18-08-2024,52
19-08-2024,55
20-08-2024,66
21-08-2024,69
22-08-2024,56
23-08-2024,37
24-08-2024,36
25-08-2024,35
26-08-2024,41
27-08-2024,39
28-08-2024,45
29-08-2024,42
30-08-2024,42
31-08-2024,40
01-09-2024,60
02-09-2024,48
03-09-2024,54
04-09-2024,45
05-09-2024,45
06-09-2024,51
07-09-2024,30
08-09-2024,38
09-09-2024,37
10-09-2024,41
11-09-2024,48
13-09-2024,50
14-09-2024,56
15-09-2024,64
16-09-2024,86
17-09-2024,64
18-09-2024,78
19-09-2024,72
20-09-2024,77
21-09-2024,62
22-09-2024,58
23-09-2024,63
24-09-2024,55
25-09-2024,55
26-09-2024,34
27-09-2024,24
28-09-2024,23
29-09-2024,35
30-09-2024,64
01-04-2024,121
02-04-2024,130
03-04-2024,100
04-04-2024,79
05-04-2024,89
06-04-2024,101
07-04-2024,79
08-04-2024,76
09-04-2024,100
10-04-2024,85
11-04-2024,81
12-04-2024,70
13-04-2024,66
14-04-2024,63
15-04-2024,108
16-04-2024,126
17-04-2024,88
18-04-2024,102
19-04-2024,77
20-04-2024,81
21-04-2024,58
22-04-2024,54
23-04-2024,84
24-04-2024,78
25-04-2024,74
26-04-2024,75
27-04-2024,86
28-04-2024,110
29-04-2024,98
05-05-2024,64
06-05-2024,62
07-05-2024,59
08-05-2024,61
09-05-2024,58
10-05-2024,62
11-05-2024,64
12-05-2024,70
13-05-2024,85
14-05-2024,148
15-05-2024,181
16-05-2024,134
17-05-2024,177
18-05-2024,95
19-05-2024,81
20-05-2024,62
21-05-2024,73
22-05-2024,71
23-05-2024,73
24-05-2024,73
25-05-2024,75
26-05-2024,72
27-05-2024,76
28-05-2024,71
29-05-2024,71
30-05-2024,72
31-05-2024,203
01-06-2024,588
02-06-2024,432
03-06-2024,77
04-06-2024,78
05-06-2024,67
06-06-2024,64
07-06-2024,66
08-06-2024,62
09-06-2024,60
10-06-2024,61
11-06-2024,62
12-06-2024,56
13-06-2024,47
14-06-2024,55
15-06-2024,52
16-06-2024,57
17-06-2024,67
18-06-2024,65
19-06-2024,64
20-06-2024,59
21-06-2024,62
22-06-2024,80
23-06-2024,70
24-06-2024,54
25-06-2024,53
26-06-2024,43
27-06-2024,34
28-06-2024,59
29-06-2024,63
30-06-2024,57
01-01-2024,175
02-01-2024,179
03-01-2024,177
04-01-2024,181
05-01-2024,182
06-01-2024,176
07-01-2024,173
08-01-2024,147
09-01-2024,155
10-01-2024,133
11-01-2024,160
12-01-2024,164
13-01-2024,170
14-01-2024,111
15-01-2024,78
16-01-2024,115
17-01-2024,143
18-01-2024,143
19-01-2024,160
20-01-2024,181
21-01-2024,154
22-01-2024,166
23-01-2024,125
24-01-2024,129
25-01-2024,137
26-01-2024,153
27-01-2024,153
28-01-2024,140
29-01-2024,158
30-01-2024,166
31-01-2024,148
01-02-2024,112
02-02-2024,102
03-02-2024,144
04-02-2024,162
05-02-2024,152
06-02-2024,150
07-02-2024,141
08-02-2024,139
09-02-2024,144
10-02-2024,138
11-02-2024,147
12-02-2024,161
13-02-2024,150
14-02-2024,148
15-02-2024,169
16-02-2024,215
17-02-2024,207
18-02-2024,184
19-02-2024,159
20-02-2024,112
21-02-2024,92
22-02-2024,92
23-02-2024,90
24-02-2024,117
25-02-2024,129
26-02-2024,160
27-02-2024,145
28-02-2024,142
29-02-2024,163
01-03-2024,136
02-03-2024,89
03-03-2024,54
04-03-2024,66
05-03-2024,127
06-03-2024,120
07-03-2024,127
08-03-2024,126
09-03-2024,127
10-03-2024,119
11-03-2024,136
12-03-2024,117
13-03-2024,86
14-03-2024,98
15-03-2024,113
16-03-2024,113
17-03-2024,118
18-03-2024,110
19-03-2024,117
20-03-2024,121
21-03-2024,138
22-03-2024,136
23-03-2024,122
24-03-2024,90
25-03-2024,92
26-03-2024,79
27-03-2024,79
28-03-2024,87
29-03-2024,91
30-03-2024,102
31-03-2024,117
01-10-2023,88
02-10-2023,86
03-10-2023,70
04-10-2023,72
05-10-2023,76
06-10-2023,81
07-10-2023,83
08-10-2023,97
09-10-2023,131
10-10-2023,78
11-10-2023,59
12-10-2023,104
13-10-2023,147
14-10-2023,157
15-10-2023,140
16-10-2023,158
17-10-2023,158
18-10-2023,154
19-10-2023,134
20-10-2023,156
21-10-2023,152
22-10-2023,160
23-10-2023,161
24-10-2023,163
25-10-2023,166
26-10-2023,143
27-10-2023,132
28-10-2023,151
29-10-2023,146
30-10-2023,151
31-10-2023,157
01-11-2023,159
02-11-2023,156
03-11-2023,161
04-11-2023,159
05-11-2023,162
06-11-2023,163
07-11-2023,160
08-11-2023,129
09-11-2023,129
10-11-2023,96
11-11-2023,136
12-11-2023,171
13-11-2023,198
14-11-2023,175
15-11-2023,179
16-11-2023,175
17-11-2023,167
18-11-2023,170
19-11-2023,158
20-11-2023,155
21-11-2023,162
22-11-2023,159
23-11-2023,160
24-11-2023,147
25-11-2023,138
26-11-2023,114
27-11-2023,80
28-11-2023,106
29-11-2023,154
30-11-2023,160
01-12-2023,168
02-12-2023,161
03-12-2023,158
04-12-2023,151
05-12-2023,156
06-12-2023,163
07-12-2023,128
08-12-2023,140
09-12-2023,145
10-12-2023,138
11-12-2023,138
12-12-2023,132
13-12-2023,141
14-12-2023,150
15-12-2023,146
16-12-2023,146
17-12-2023,158
18-12-2023,158
19-12-2023,159
20-12-2023,153
21-12-2023,164
22-12-2023,180
23-12-2023,173
24-12-2023,172
25-12-2023,167
26-12-2023,186
27-12-2023,178
28-12-2023,209
29-12-2023,185
30-12-2023,184
31-12-2023,171
01-07-2023,29
02-07-2023,27
